# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/engine/annotation/data/gencode.v36.annotation_chr5.gtf" "-t" "exon" "-g" "gene_id" "-s" "0" "-T" "4" "-o" "/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/subread/SKMel147_ARID2KO_R1_RNA_chr5_R1.featureCounts.txt" "/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/sc/arion/projects/BiNGS/bings_omics/data/bings/2026/bulk_course_data/hands_on/data_rna/reduced_chr5/preprocessed/star/SKMel147_ARID2KO_R1_RNA_chr5_R1_Aligned.sortedByCoord.out.bam
ENSG00000249915.8	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	271621;271621;271621;271624;271625;271646;271647;271657;271657;271661;271776;272711;272711;272711;272711;272711;272711;272711;272711;272712;276012;304177;304177;304177;304177;304177;304177;304177;304177;306602;306602;306602;306602;306602;306681;308197;311293;311293;311293;311293;311293;311293;311293;311293;311293;313701;314417;314417;314417;314417;314417;314417;314417;314417;314417;314417	271821;271821;271690;271821;271821;271821;271821;271821;271821;271821;271821;272772;272772;272772;272772;273367;272772;272772;272772;272772;276940;304221;304221;304221;304221;306754;304221;304221;304221;306760;306754;306760;306760;306760;306760;311402;311402;311402;312411;311402;311402;311402;311402;311402;311402;313850;314973;314954;314686;314969;314974;314806;314969;314974;314974;314974	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9294	261
ENSG00000288622.1	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	271670;271670;272711;272711;304177;304177;304184;343893;343893;343893;353730;353730;376610;376610;413344;413344;413344;422729;422729;422729;423841;423841;423841;427637;427807;427807;427807;432463;432463;432463;432806;432806;432806;433853;433853;433853	271821;271821;272772;272772;304221;304221;304221;343964;343964;343964;353911;353911;376716;376716;413433;413433;413433;422858;422858;422858;423977;423977;423977;427690;428006;428006;428006;432524;432524;432524;432947;432947;432947;434893;438291;438291	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5874	0
ENSG00000250848.1	chr5;chr5	288833;289443	289156;290321	-;-	1203	21
ENSG00000063438.19	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	321759;322570;322587;322636;322640;343528;343893;343893;343893;343893;343893;343893;353730;353730;353730;353730;353730;353730;367808;367813;376610;376610;376610;413344;413344;413344;420920;422377;422729;422729;422729;422729;423841;423841;423841;427807;427807;427918;432025;432463;432463;432806;432806;433853;433853;433853;433853	321819;322662;322662;322662;322662;343708;343964;343964;343964;343964;343964;343969;353911;353911;353911;353911;353911;353911;369849;369849;376716;376716;376716;413433;413433;413433;421340;422858;422858;422858;422760;422774;423927;423977;423977;428006;428006;428006;432947;432524;432524;432947;432947;435109;435110;434409;438291	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9435	56
ENSG00000214278.4	chr5	403731	404546	-	816	2
ENSG00000250645.1	chr5	418703	419109	+	407	10
ENSG00000221990.4	chr5;chr5	441498;441530	443160;443143	-;-	1663	52
ENSG00000180104.16	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	443175;443176;443233;443268;444926;446149;446150;446150;446150;446150;447018;447533;447533;447533;447533;453370;453370;453370;453397;456889;456889;456889;457006;457900;457900;457900;459359;459359;459359;459359;461630;461960;461960;461960;461960;462157;462157;462157;462157;462157;464290;464290;464290;464290;464290;464789;465111;465111;465718;465718;465718;465718;465718;466727;466727;466727;466727;468870;468870;469790;469790;469856;471099;471099;471123	443290;443290;443290;443290;445064;446349;446349;446349;446349;446349;447314;447752;447594;447752;447752;454051;454051;454051;454051;457006;457006;457006;458025;458025;458025;458025;459580;459459;459459;459459;462070;462070;462070;462070;462070;462307;462307;462307;462529;462307;464728;465272;464412;465272;464412;465272;465272;465272;466078;465845;465845;465845;465845;468609;467285;468609;467290;468942;468942;469987;469987;469987;471936;471937;471581	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8165	1956
ENSG00000188242.4	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	466124;470510;471247;472107;472679;472679;472679;472679	466526;471965;471823;472593;472960;473098;472743;472876	-;-;-;-;-;-;-;-	2766	6
ENSG00000066230.12	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	470456;470458;473361;474883;474883;475561;475561;475561;476020;476020;476020;476202;476202;476202;476543;476543;476543;477332;477332;477332;479637;479836;479836;479836;481565;481565;481565;481565;482068;482068;482068;482068;482548;482548;482548;482548;483262;483262;483262;484520;484520;484520;485153;485153;485153;488316;488316;488316;491769;491769;491769;524112;524112;524112	473382;473382;473382;475132;475132;475671;475671;475671;476092;476092;476092;476378;476378;476378;476672;476672;476672;477444;477444;477444;479965;479965;479965;479965;481635;481635;481635;481635;482157;482130;482157;482157;482644;482750;482750;482750;483482;483482;483482;484697;484697;484697;485231;485231;485231;488476;488476;488476;492071;492071;492071;524330;524322;524449	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5754	23
ENSG00000225138.8	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	473236;473748;475137;475137;475284;476050;476232;476408;476535;476974;477054;477104;477244;477244;477244;477245;477245;477322;477806;477806;477806;477806;477806;477806;477806;477806;477806;478123;479508;479782;479782;479782;479782;479782;479866;479866;479866;480068;480362;480362;480362;480362;480362;480362	473399;474046;475297;475319;475319;476490;476563;476563;476563;477465;477465;477336;477465;477465;477336;477465;477336;477465;477849;477849;478651;477849;477849;477849;477849;477849;477849;480884;480216;479997;480216;480216;480818;480216;480216;480006;480122;480216;480602;480665;480440;480508;480830;480467	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4731	111
ENSG00000250385.2	chr5;chr5;chr5;chr5;chr5	524109;524705;524892;526412;526412	524185;524963;524963;527448;526594	+;+;+;+;+	1373	0
ENSG00000264233.1	chr5	535840	535882	-	43	0
ENSG00000249650.1	chr5;chr5;chr5	602620;611447;612152	602844;611753;612210	-;-;-	591	0
ENSG00000112877.8	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	612340;618990;620069;624471;633769;635372;637517;639089;640408;644138;644299;647805;647805;652988;652988;653026;655455;655456;656928;663416;665180;665941;666864	612443;619117;620261;624579;633947;635584;637818;639224;640604;644425;644425;647916;647916;653243;653553;653191;655584;655584;657093;663572;665325;666099;667168	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3590	160
ENSG00000171368.12	chr5;chr5;chr5;chr5	659862;665970;677750;693278	665296;666123;678064;693352	-;-;-;-	5979	18
ENSG00000271781.1	chr5	675826	676616	+	791	12
ENSG00000206077.13	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	710355;710355;716801;716801;730434;730434;731962;733752;741594;745183;747350;748404;751133;751141;751206;754998;754998;755966;765843;766615;766698;766698;766789;766835;767392;767392;767392;767392;767392;768835;768835;768835;768835;768835;769955;783942;784668;784668;784668;784668;784668	712282;712282;716865;716865;730468;730468;732671;733839;741628;745298;748559;748559;751257;751234;751257;755099;755099;756144;765935;766919;766919;766919;766919;766919;767524;767524;767524;767524;767524;768930;768930;768930;768930;768930;770117;784124;784729;784729;784729;784729;784729	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5628	0
ENSG00000249908.2	chr5;chr5	767382;768835	767524;768930	-;-	239	0
ENSG00000285522.1	chr5	770005	770113	-	109	0
ENSG00000188818.12	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	795606;795607;795607;795851;795870;795916;795939;796064;796126;796164;796186;796202;796325;801100;801100;801100;801100;814761;814761;814761;819525;819525;819525;821143;821861;821861;821861;823389;823389;824008;825164;825164;825164;825164;833773;833773;833773;833773;837365;837365;837365;837365;837436;839442;840495;840495;840495;840495;840803;841578;842409;843342;843600;843600;843600;843600;843600;843608;847514;847514;847514;847514;847708;848482;848482;849650;850381;850381;850441	796580;796580;795845;795868;795914;795936;796061;796064;796160;796184;796200;796580;796580;801164;801164;801145;801164;814795;814795;814795;819612;819612;819612;821360;821895;821895;821895;824093;823809;824093;825251;825251;825251;825251;833807;833807;833807;833807;837478;837480;837480;837478;837480;840650;840597;840650;840650;840650;842495;841919;842674;843724;843693;843746;843724;843724;843724;843701;847623;847615;847599;847615;847780;848660;848660;849788;850623;850986;850505	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6953	27
ENSG00000247872.2	chr5	816346	817001	+	656	0
ENSG00000028310.18	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	850291;863741;863741;863741;863741;863741;863741;863745;864123;864423;865414;865414;865414;865414;865414;865414;865414;865414;865414;865414;868607;868607;868702;868749;869038;869038;869245;869245;869245;869245;869245;869245;870288;870473;870473;870473;870473;870473;870473;870473;870473;870473;870473;870473;871526;871526;871526;871526;871526;871526;871526;871526;871526;871526;871526;876101;876101;876101;876101;876101;876101;876101;876101;876101;876101;876101;876109;876160;878355;878355;878355;878355;878355;878355;878355;878355;878355;878355;878355;878355;878355;878355;879794;879794;879794;879794;879794;879794;879794;879794;879794;879794;879794;881107;881107;881107;881107;881107;881107;881107;882956;883332;883332;883351;883938;883938;883938;883938;883938;883938;883940;886592;886592;886592;886592;886592;886592;886592;886592;886592;886864;887361;887361;887361;887361;887361;887361;887361;887361;888235;889021;889021;889021;889021;889021;889021;889021;889021;889043;889587;889587;889587;889587;889587;889587;889587;889587;889587;891155;891155;891155;891155;891155;891155;891155;891155;891640;891640;891640;891640;891640;891640;891640;892087;892421;892509;892509;892606;892606	850602;864568;864568;864568;864568;864568;864568;864568;864568;864568;865581;865581;865581;865581;865581;865581;865581;865581;865581;866501;868804;869119;868804;868804;869119;869119;869394;869394;869404;869404;869394;869404;870575;870575;870553;870575;870575;870575;870575;870575;870575;870575;870575;870575;871564;871564;871564;871564;871564;871564;871564;871564;871564;871564;871564;876212;876212;876203;876212;876212;876212;876212;876212;876212;876212;876212;876212;876212;878487;878487;878487;878487;878440;878487;878487;878487;878487;878487;878487;878487;879315;878487;879889;879889;879889;879889;879889;879889;879889;879889;879889;879889;880098;881182;881182;881182;881182;881182;881182;882545;884070;883369;883407;883450;884070;884070;884070;884070;884070;884070;884070;886767;886767;886707;886707;886707;886707;886767;886707;886707;886907;887471;887471;887471;887471;887471;887471;887471;887471;888407;889165;889165;889160;889165;889165;889165;889165;889165;889165;889766;889766;889766;889647;889766;889647;889766;889766;890046;891287;891550;891287;891287;891287;891287;891287;891287;891854;891854;891854;891854;891854;891854;891797;892522;892522;892559;892546;892801;892800	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9549	1716
ENSG00000071539.14	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	892884;892884;893025;893642;894787;894787;894787;894787;896665;896665;896665;896710;900494;900494;900494;901341;901341;901341;904148;904148;904148;907130;907130;907130;907988;907988;907988;908355;908355;911843;914465;914559;915904;915904;915928;917008;917008;917008;917028;917336;917719;919020	893090;893090;893090;893720;894952;894952;894952;894952;896794;896794;896794;896790;900549;900549;900549;901431;901431;901431;904220;904220;904220;907193;907193;907193;908074;908074;908074;908461;908932;911996;914577;914577;915973;915973;915973;917151;917151;918120;917151;917448;917900;919357	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3319	1986
ENSG00000287600.1	chr5;chr5;chr5	904319;907549;912362	906759;907780;912587	-;-;-	2899	15
ENSG00000248949.1	chr5;chr5	946315;956124	946476;956520	+;+	559	1
ENSG00000250173.1	chr5;chr5	979365;981036	979519;981300	+;+	420	0
ENSG00000215246.5	chr5;chr5	987180;997271	990623;997308	-;-	3482	0
ENSG00000272347.1	chr5	1005039	1006623	+	1585	0
ENSG00000145506.14	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	1008802;1008962;1009179;1009179;1009481;1009481;1032152;1032152;1033372;1033372;1034136;1034235;1034235;1034756;1034756;1034756;1034756;1035389;1035389;1035389;1035389;1035805;1036110;1036257;1036257;1036257;1037520;1037805;1037805;1037805;1037805	1009082;1009082;1009214;1009214;1009560;1009560;1032212;1032212;1033499;1033499;1034330;1034330;1034330;1034903;1034903;1034903;1034903;1035473;1035473;1035473;1035473;1036384;1036172;1036384;1036384;1036384;1037698;1038284;1038315;1038682;1038943	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2912	0
